location_name,location,phone_nuber,street_address_name,street_address_number,city,state,zip_codes,longitude,latitude
CVS - Arcadia,"188 Las Tunas Drive, Arcadia, CA 91007",,188 Las Tunas Drive,188,Arcadia,California,91007,27.5991531,-97.2244
CVS - Azusa,"915 East Arrow Highway, Azusa, CA 91702",,915 East Arrow Highway,915,Azusa,California,91740,34.106688281879194,-117.84616291946308
CVS - Baldwin Park,"3151 Baldwin Park, Baldwin Park, CA 91706",,3151 Baldwin Park,3151,Baldwin Park,California,91706,34.0854739,-117.9611761
CVS - Baldwin Park,"1550 Puente Ave., Baldwin Park, CA 91706",,1550 Puente Ave.,1550,Baldwin Park,California,91746,34.0615693,-117.9711124
City of Bell,"6480-6410 Atlantic Ave., Bell, CA 90203",,6480-6410 Atlantic Ave.,6480-6410,Bell,California,90203,33.97665,-118.18705
Bellflower City Hall,"16600 Civic Center Drive, Bellflower, CA 90706",,16600 Civic Center Drive,16600,Bellflower,California,90210,34.0789976,-118.3922754
CVS - Burbank,"1820 West Verdugo Ave., Burbank, CA 91506",,1820 West Verdugo Ave.,1820,Burbank,California,91506,34.1674975,-118.324284
City of Carson - Carson Community Center,"801 E Carson St., Carson, CA 90745",,801 E Carson St.,801,Carson,California,90745,29.44167,-98.464228
CVS - City of Industry,"21590 East Valley Blvd., City of Industry, CA 91789",,21590 East Valley Blvd.,21590,City of Industry,California,91789,34.0741167,-118.1651278
CVS - Compton,"901 South Central Ave., Compton, CA 90220",,901 South Central Ave.,901,Compton,California,90220,29.475395,-81.125646
Rite-Aid Compton,"107 South Long Beach Blvd., Compton, CA 90221",,107 South Long Beach Blvd.,107,Compton,California,90221,33.89586148484849,-118.20806096969696
Rancho Los Amigos - South Campus,"12840 Dahlia Ave., Downey, CA 90242",,12840 Dahlia Ave.,12840,Downey,California,90242,33.92245159111148,-118.15981722867112
CVS - Downey,"8400 Firestone Blvd., Downey, CA 90241",,8400 Firestone Blvd.,8400,Downey,California,90241,33.9500266,-118.1723096
CVS - Eagle Rock,"1030 Colorado Blvd., Eagle Rock, CA 90041",,1030 Colorado Blvd.,1030,Eagle Rock,California,90041,39.7882744,-104.9405636
Rite-Aid Gardena,"1208 West Redondo Beach Blvd., Gardena, CA  90247",,1208 West Redondo Beach Blvd.,1208,Gardena,California,90247,33.89225526649522,-118.296455711499
San Gabriel Valley Airport,"4233 Santa Anita Ave., El Monte, CA 91731",,4233 Santa Anita Ave.,4233,El Monte,California,90731,34.1358758,-118.0987792
El Monte Comprehensive Health Center - DHS,"10953 Ramona Blvd., El Monte, CA 91731",,10953 Ramona Blvd.,10953,El Monte,California,91731,30.3140864,-81.7535669
Priority Care Medical Group - El Monte,"3229 Santa Anita Ave., El Monte, CA 91733",1-626-575-4584,3229 Santa Anita Ave.,3229,EL Monte,California,91733,34.199158041371284,-118.13315282686614
CVS - Hermosa Beach,"155 Pacific Coast Highway, Hermosa Beach, CA 90254",,155 Pacific Coast Highway,155,Hermosa Beach,California,91254,33.7898554,-118.2222057
Angeles Community Health Center - Huntington Park,"6208 Seville Ave., Huntington Park, CA 90255",1-323-513-2382,6208 Seville Ave.,6208,Huntington Park,California,90255,33.98440622411471,-118.22251129709593
The Forum,"3900 W. Manchester Blvd, Inglewood, CA 90305",,3900 W. Manchester Blvd,3900,Inglewood,California,90305,33.95822585,-118.34198075
CVS - La Puente,"858 North Sunset Ave., La Puente, CA 91744",,858 North Sunset Ave.,858,La Puente,California,91744,33.93473886126153,-102.34529844584786
Hansen Dam Recreational Center,"11798 Foothill Blvd., Lake View Terrace, CA 91342\",,11798 Foothill Blvd.,11798,Lake View Terrace,California,91342,34.2661957,-118.3347907
CVS - Lakewood,"6510 South St., Lakewood, CA 90713",,6510 South St.,6510,Lakewood,California,91713,40.6279187,-111.9180445
High Desert Regional Health Center - DHS,"335 East Ave. I, Lancaster, CA 93535",1-661-471-4400,335 East Ave. I,335,Lancaster,California,93535,31.448412163265306,-100.42910381632653
CVS - Lancaster,"846 West Ave. K, Lancaster, CA 93534",,846 West Ave. K,846,Lancaster,California,93534,31.44625654379586,-100.44653772112241
Rite-Aid Lancaster,"1356 West Ave. J, Lancaster, CA  93534",,1356 West Ave. J,1356,Lancaster,California,93534,31.447503402923513,-100.4516642882264
CVS - Lomita,"25829 Narbonne Ave., Lomita, CA 90717",,25829 Narbonne Ave.,25829,Lomita,California,90717,33.78860927231171,-118.320071
Long Beach City College,"1305 E. Pacific Coast Hwy., Long Beach, CA 90806",,1305 E. Pacific Coast Hwy.,1305,Long Beach,California,90806,33.7400272,-118.0933933
CVS - Long Beach,"1250 East Pacific Coast Highway, Long Beach, CA 90806",,1250 East Pacific Coast Highway,1250,Long Beach,California,90806,33.7651749,-118.1161673
Priority Care Medical Group - Long Beach,"500 W. Willow St., #101, Long Beach, CA 90806",1-562-427-1700,500 W. Willow St.,500,Long Beach,California,90806,40.513939,-88.993606
City of Long Beach - Cabrillo High School,"2001 Santa Fe Ave., Long Beach, CA 90810",,2001 Santa Fe Ave.,2001,Long Beach,California,90810,39.3353592,-76.6657316
City of Long Beach - Long Beach City College - Veterans' Stadium,"5000 E. Lew Davis Dr., Long Beach, CA 90808",,5000 E. Lew Davis Dr.,5000,Long Beach,California,90808,33.82992,-118.13661
Watts Healthcare Corporation,"10300 Compton Ave., Los Angeles CA 90002",1-323-564-4331,10300 Compton Ave.,10300,Los Angeles,California,90002,40.8132246,-73.8545523
