Age_Group,Total Cases,Rate,collect_time
0 to 17,1037.0,,2020-05-12
18 to 40,10828.0,,2020-05-12
41 to 65,13005.0,,2020-05-12
Over 65,6694.0,,2020-05-12
Under Investigation,106.0,,2020-05-12
0 to 17,1099,,2020-05-13
18 to 40,11236,,2020-05-13
41 to 65,13466,,2020-05-13
Over 65,6937,,2020-05-13
Under Investigation,113,,2020-05-13
0 to 17,1150,,2020-05-14
18 to 40,11580,,2020-05-14
41 to 65,13736,,2020-05-14
Over 65,7043,,2020-05-14
Under Investigation,119,,2020-05-14
0 to 17,1193,,2020-05-15
18 to 40,11879,,2020-05-15
41 to 65,14044,,2020-05-15
Over 65,7210,,2020-05-15
Under Investigation,114,,2020-05-15
0 to 17,1252,,2020-05-16
18 to 40,12253,,2020-05-16
41 to 65,14415,,2020-05-16
Over 65,7378,,2020-05-16
Under Investigation,121,,2020-05-16
