Deaths_Ethnicity,Total Cases,Rate,collect_time
American Indian/Alaska Native,1.0,,2020-05-12
Asian,271.0,,2020-05-12
Black,187.0,,2020-05-12
Hispanic/Latino,567.0,,2020-05-12
Native Hawaiian/Pacific Islander,15.0,,2020-05-12
White,432.0,,2020-05-12
Other,17.0,,2020-05-12
Under Investigation,13.0,,2020-05-12
American Indian/Alaska Native,1,,2020-05-13
Asian,275,,2020-05-13
Black,190,,2020-05-13
Hispanic/Latino,588,,2020-05-13
Native Hawaiian/Pacific Islander,15,,2020-05-13
White,446,,2020-05-13
Other,14,,2020-05-13
Under Investigation,16,,2020-05-13
American Indian/Alaska Native,1,,2020-05-14
Asian,288,,2020-05-14
Black,193,,2020-05-14
Hispanic/Latino,603,,2020-05-14
Native Hawaiian/Pacific Islander,16,,2020-05-14
White,457,,2020-05-14
Other,15,,2020-05-14
Under Investigation,18,,2020-05-14
American Indian/Alaska Native,2,,2020-05-15
Asian,292,,2020-05-15
Black,199,,2020-05-15
Hispanic/Latino,620,,2020-05-15
Native Hawaiian/Pacific Islander,16,,2020-05-15
White,469,,2020-05-15
Other,17,,2020-05-15
Under Investigation,17,,2020-05-15
American Indian/Alaska Native,2,,2020-05-16
Asian,299,,2020-05-16
Black,203,,2020-05-16
Hispanic/Latino,640,,2020-05-16
Native Hawaiian/Pacific Islander,16,,2020-05-16
White,482,,2020-05-16
Other,17,,2020-05-16
Under Investigation,14,,2020-05-16
American Indian/Alaska Native,2,,2020-05-17
Asian,299,,2020-05-17
Black,207,,2020-05-17
Hispanic/Latino,653,,2020-05-17
Native Hawaiian/Pacific Islander,16,,2020-05-17
White,493,,2020-05-17
Other,18,,2020-05-17
Under Investigation,13,,2020-05-17
American Indian/Alaska Native,2,,2020-05-18
Asian,303,,2020-05-18
Black,208,,2020-05-18
Hispanic/Latino,659,,2020-05-18
Native Hawaiian/Pacific Islander,15,,2020-05-18
White,501,,2020-05-18
Other,18,,2020-05-18
Under Investigation,13,,2020-05-18
American Indian/Alaska Native,2,,2020-05-19
Asian,313,,2020-05-19
Black,218,,2020-05-19
Hispanic/Latino,690,,2020-05-19
Native Hawaiian/Pacific Islander,15,,2020-05-19
White,514,,2020-05-19
Other,20,,2020-05-19
Under Investigation,18,,2020-05-19
American Indian/Alaska Native,2,,2020-05-20
Asian,321,,2020-05-20
Black,222,,2020-05-20
Hispanic/Latino,715,,2020-05-20
Native Hawaiian/Pacific Islander,15,,2020-05-20
White,531,,2020-05-20
Other,20,,2020-05-20
Under Investigation,8,,2020-05-20
American Indian/Alaska Native,2,,2020-05-21
Asian,324,,2020-05-21
Black,230,,2020-05-21
Hispanic/Latino,733,,2020-05-21
Native Hawaiian/Pacific Islander,15,,2020-05-21
White,538,,2020-05-21
Other,21,,2020-05-21
Under Investigation,11,,2020-05-21
American Indian/Alaska Native,2,,2020-05-22
Asian,328,,2020-05-22
Black,232,,2020-05-22
Hispanic/Latino,747,,2020-05-22
Native Hawaiian/Pacific Islander,16,,2020-05-22
White,546,,2020-05-22
Other,21,,2020-05-22
Under Investigation,10,,2020-05-22
American Indian/Alaska Native,2,,2020-05-23
Asian,334,,2020-05-23
Black,233,,2020-05-23
Hispanic/Latino,759,,2020-05-23
Native Hawaiian/Pacific Islander,16,,2020-05-23
White,565,,2020-05-23
Other,20,,2020-05-23
Under Investigation,12,,2020-05-23
American Indian/Alaska Native,2,,2020-05-24
Asian,336,,2020-05-24
Black,233,,2020-05-24
Hispanic/Latino,767,,2020-05-24
Native Hawaiian/Pacific Islander,16,,2020-05-24
White,567,,2020-05-24
Other,20,,2020-05-24
Under Investigation,12,,2020-05-24
American Indian/Alaska Native,2,,2020-05-25
Asian,337,,2020-05-25
Black,234,,2020-05-25
Hispanic/Latino,771,,2020-05-25
Native Hawaiian/Pacific Islander,16,,2020-05-25
White,569,,2020-05-25
Other,20,,2020-05-25
Under Investigation,12,,2020-05-25
American Indian/Alaska Native,2,,2020-05-26
Asian,343,,2020-05-26
Black,240,,2020-05-26
Hispanic/Latino,779,,2020-05-26
Native Hawaiian/Pacific Islander,16,,2020-05-26
White,574,,2020-05-26
Other,20,,2020-05-26
Under Investigation,14,,2020-05-26
American Indian/Alaska Native,2,,2020-05-27
Asian,354,,2020-05-27
Black,244,,2020-05-27
Hispanic/Latino,808,,2020-05-27
Native Hawaiian/Pacific Islander,17,,2020-05-27
White,577,,2020-05-27
Other,22,,2020-05-27
Under Investigation,14,,2020-05-27
American Indian/Alaska Native,2,,2020-05-28
Asian,360,,2020-05-28
Black,246,,2020-05-28
Hispanic/Latino,825,,2020-05-28
Native Hawaiian/Pacific Islander,18,,2020-05-28
White,591,,2020-05-28
Other,20,,2020-05-28
Under Investigation,16,,2020-05-28
American Indian/Alaska Native,2,,2020-05-29
Asian,369,,2020-05-29
Black,250,,2020-05-29
Hispanic/Latino,849,,2020-05-29
Native Hawaiian/Pacific Islander,17,,2020-05-29
White,607,,2020-05-29
Other,18,,2020-05-29
Under Investigation,15,,2020-05-29
American Indian/Alaska Native,2,,2020-05-30
Asian,379,,2020-05-30
Black,258,,2020-05-30
Hispanic/Latino,872,,2020-05-30
Native Hawaiian/Pacific Islander,16,,2020-05-30
White,612,,2020-05-30
Other,16,,2020-05-30
Under Investigation,16,,2020-05-30
