Gender,Total Cases,Rate,collect_time
Female,15669.0,,2020-05-12
Male,15742.0,,2020-05-12
Other,7.0,,2020-05-12
Under Investigation,252.0,,2020-05-12
Female,16245,,2020-05-13
Male,16340,,2020-05-13
Other,8,,2020-05-13
Under Investigation,258,,2020-05-13
Female,16586,,2020-05-14
Male,16767,,2020-05-14
Other,9,,2020-05-14
Under Investigation,266,,2020-05-14
Female,16989,,2020-05-15
Male,17173,,2020-05-15
Other,9,,2020-05-15
Under Investigation,269,,2020-05-15
Female,17457,,2020-05-16
Male,17684,,2020-05-16
Other,9,,2020-05-16
Under Investigation,269,,2020-05-16
