Locations,Total Cases,Rate,collect_time
Laboratory Confirmed Cases (LCC),33180.0,,2020-05-12
- Los Angeles County (excl. LB and Pas),31670.0,,2020-05-12
- Long Beach,953.0,,2020-05-12
- Pasadena,557.0,,2020-05-12
Laboratory Confirmed Cases (LCC),34428,,2020-05-13
- Los Angeles County (excl. LB and Pas),32851,,2020-05-13
- Long Beach,984,,2020-05-13
- Pasadena,593,,2020-05-13
Laboratory Confirmed Cases (LCC),35329,,2020-05-14
- Los Angeles County (excl. LB and Pas),33628,,2020-05-14
- Long Beach,1094,,2020-05-14
- Pasadena,607,,2020-05-14
Laboratory Confirmed Cases (LCC),36259,,2020-05-15
- Los Angeles County (excl. LB and Pas),34440,,2020-05-15
- Long Beach,1157,,2020-05-15
- Pasadena,662,,2020-05-15
Laboratory Confirmed Cases (LCC),37303,,2020-05-16
- Los Angeles County (excl. LB and Pas),35419,,2020-05-16
- Long Beach,1214,,2020-05-16
- Pasadena,670,,2020-05-16
Laboratory Confirmed Cases (LCC),37974,,2020-05-17
- Los Angeles County (excl. LB and Pas),36019,,2020-05-17
- Long Beach,1271,,2020-05-17
- Pasadena,684,,2020-05-17
Laboratory Confirmed Cases (LCC),38451,,2020-05-18
- Los Angeles County (excl. LB and Pas),36459,,2020-05-18
- Long Beach,1298,,2020-05-18
- Pasadena,694,,2020-05-18
Laboratory Confirmed Cases (LCC),39573,,2020-05-19
- Los Angeles County (excl. LB and Pas),37566,,2020-05-19
- Long Beach,1305,,2020-05-19
- Pasadena,702,,2020-05-19
Laboratory Confirmed Cases (LCC),40857,,2020-05-20
- Los Angeles County (excl. LB and Pas),38791,,2020-05-20
- Long Beach,1362,,2020-05-20
- Pasadena,704,,2020-05-20
Laboratory Confirmed Cases (LCC),42037,,2020-05-21
- Los Angeles County (excl. LB and Pas),39853,,2020-05-21
- Long Beach,1400,,2020-05-21
- Pasadena,784,,2020-05-21
Laboratory Confirmed Cases (LCC),43052,,2020-05-22
- Los Angeles County (excl. LB and Pas),40767,,2020-05-22
- Long Beach,1495,,2020-05-22
- Pasadena,790,,2020-05-22
