Obs,Setting Name,Address,Confirmed Staff,Symptomatic Staff,collect_time
1,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1 *,0,2020/5/12
2,Anthony Inc,"12391 Montero Ave, Sylmar, CA, 91342",1,16,2020/5/12
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",7,0,2020/5/12
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",6,0,2020/5/12
5,Domino's Pizza,"3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",6,1,2020/5/12
6,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",15,0,2020/5/12
7,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",10,0,2020/5/12
8,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",13,0,2020/5/12
9,Penny Lane Centers,"5628 E Slauson Ave, Commerce, CA, 90040",4,4,2020/5/12
10,"Principles Inc, Los Angeles Outpatient Center","3217 N Eastern Ave, Los Angeles, CA, 90032",8,0,2020/5/12
11,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",21,0,2020/5/12
12,Skid Row Community Refresh Spot,"557 Crocker St, Los Angeles, CA, 90013",4,1,2020/5/12
13,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",7,0,2020/5/12
14,Walmart Supercenter,"1275 N Azusa Ave, Covina, CA, 91722",8,0,2020/5/12
15,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",14,1,2020/5/12
Total, , ,125,23,2020/5/12
1,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1 *,0,2020/5/13
2,Anthony Inc,"12391 Montero Ave, Sylmar, CA, 91342",1,16,2020/5/13
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",7,0,2020/5/13
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",6,0,2020/5/13
5,Domino's Pizza,"3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",6,1,2020/5/13
6,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",15,0,2020/5/13
7,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",10,0,2020/5/13
8,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",13,0,2020/5/13
9,"Principles Inc, Los Angeles Outpatient Center","3217 N Eastern Ave, Los Angeles, CA, 90032",8,0,2020/5/13
10,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",21,0,2020/5/13
11,Skid Row Community Refresh Spot,"557 Crocker St, Los Angeles, CA, 90013",4,1,2020/5/13
12,Sunrise At Sterling Canyon,"25815 McBean Pkwy, Santa Clarita, CA, 91355",1,0,2020/5/13
13,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",7,0,2020/5/13
14,Walmart Supercenter,"1275 N Azusa Ave, Covina, CA, 91722",8,0,2020/5/13
15,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",14,1,2020/5/13
Total,,,122,19,2020/5/13
1,Ahmanson Recruit Training Center * ,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020/5/14
2,Anthony Inc,"12391 Montero Ave, Sylmar, CA, 91342",1,16,2020/5/14
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",7,0,2020/5/14
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",6,0,2020/5/14
5,Domino's Pizza,"3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",4,2,2020/5/14
6,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",15,0,2020/5/14
7,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",10,0,2020/5/14
8,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",13,0,2020/5/14
9,"Principles Inc, Los Angeles Outpatient Center","3217 N Eastern Ave, Los Angeles, CA, 90032",8,0,2020/5/14
10,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",21,0,2020/5/14
11,Skid Row Community Refresh Spot,"557 Crocker St, Los Angeles, CA, 90013",4,1,2020/5/14
12,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",7,0,2020/5/14
13,Walmart Supercenter,"1275 N Azusa Ave, Covina, CA, 91722",8,0,2020/5/14
14,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",14,1,2020/5/14
Total,,,119,20,2020/5/14
1,Ahmanson Recruit Training Center*,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020/5/15
2,Anthony Inc,"12391 Montero Ave, Sylmar, CA, 91342",1,16,2020/5/15
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",7,0,2020/5/15
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",6,0,2020/5/15
5,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,4,2020/5/15
6,Domino's Pizza,"3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",4,2,2020/5/15
7,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",15,0,2020/5/15
8,Lac DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",6,0,2020/5/15
9,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",10,0,2020/5/15
10,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",13,0,2020/5/15
11,"Principles Inc, Los Angeles Outpatient Center","3217 N Eastern Ave, Los Angeles, CA, 90032",8,0,2020/5/15
12,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",22,0,2020/5/15
13,Skid Row Community Refresh Spot,"557 Crocker St, Los Angeles, CA, 90013",4,1,2020/5/15
14,The Village At Northridge,"9222 Corbin Ave, Northridge, CA, 91324",1,0,2020/5/15
15,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",7,0,2020/5/15
16,Walmart Supercenter,"1275 N Azusa Ave, Covina, CA, 91722",8,0,2020/5/15
17,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",14,1,2020/5/15
Total,,,135,24,2020/5/15
1,Ahmanson Recruit Training Center,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020/5/16
2,Anthony Inc,"12391 Montero Ave, Sylmar, CA, 91342",1,16,2020/5/16
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",7,0,2020/5/16
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",6,0,2020/5/16
5,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,4,2020/5/16
6,Domino's Pizza,"3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",4,2,2020/5/16
7,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",13,5,2020/5/16
8,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",18,0,2020/5/16
9,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020/5/16
10,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",7,0,2020/5/16
11,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",10,0,2020/5/16
12,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020/5/16
13,"Principles Inc, Los Angeles Outpatient Center","3217 N Eastern Ave, Los Angeles, CA, 90032",8,0,2020/5/16
14,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",22,0,2020/5/16
15,Skid Row Community Refresh Spot,"557 Crocker St, Los Angeles, CA, 90013",4,1,2020/5/16
16,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020/5/16
17,Walmart Supercenter,"1275 N Azusa Ave, Covina, CA, 91722",8,0,2020/5/16
18,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",14,1,2020/5/16
Total,,,156,32,2020/5/16
1,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020/5/17
2,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",8,0,2020/5/17
3,Anthony Inc,"12391 Montero Ave, Sylmar, CA, 91342",1,16,2020/5/17
4,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",7,0,2020/5/17
5,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",6,0,2020/5/17
6,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,4,2020/5/17
7,Domino's Pizza,"3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",4,2,2020/5/17
8,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",13,5,2020/5/17
9,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",18,0,2020/5/17
10,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020/5/17
11,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",7,0,2020/5/17
12,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",10,0,2020/5/17
13,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020/5/17
14,"Principles Inc, Los Angeles Outpatient Center","3217 N Eastern Ave, Los Angeles, CA, 90032",8,0,2020/5/17
15,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",22,0,2020/5/17
16,Skid Row Community Refresh Spot,"557 Crocker St, Los Angeles, CA, 90013",4,0,2020/5/17
17,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020/5/17
18,Walmart Supercenter,"1275 N Azusa Ave, Covina, CA, 91722",8,0,2020/5/17
19,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",14,1,2020/5/17
Total,,,164,31,2020/5/17
1,Ahmanson Recruit Training Center*,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-05-22
2,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",8,0,2020-05-22
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",7,7,2020-05-22
